node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
3.112.34.29:443,3.112.34.29,443,JP,NRT,83.8,158.99,94.55,500,83.8,-19.25,above_30mbps_reward,30.0
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,86.9,198.07,95.12,500,86.9,-21.78,above_30mbps_reward,30.0
154.19.186.85:443,154.19.186.85,443,JP,NRT,69.36,42.47,95.35,500,69.36,-4.01,above_30mbps_reward,30.0
118.156.166.251:443,118.156.166.251,443,JP,NRT,89.95,204.97,97.77,500,89.95,-22.18,above_30mbps_reward,30.0
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,66.91,23.61,100.1,500,66.91,3.2,below_30mbps,30.0
103.74.192.178:443,103.74.192.178,443,HK,HKG,73.66,27.29,105.02,500,73.66,1.36,below_30mbps,30.0
219.76.13.180:443,219.76.13.180,443,HK,HKG,69.19,18.15,105.11,500,69.19,5.93,below_30mbps,30.0
35.75.55.100:443,35.75.55.100,443,JP,NRT,96.54,190.09,105.23,500,96.54,-21.31,above_30mbps_reward,30.0
43.133.1.62:443,43.133.1.62,443,JP,NRT,81.47,47.74,106.11,500,81.47,-5.36,above_30mbps_reward,30.0
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,88.65,85.75,106.53,500,88.65,-12.12,above_30mbps_reward,30.0
45.77.36.196:443,45.77.36.196,443,SG,SIN,99.8,184.4,108.84,500,99.8,-20.96,above_30mbps_reward,30.0
93.93.246.12:443,93.93.246.12,443,JP,,102.71,84.63,120.74,500,102.71,-11.97,above_30mbps_reward,30.0
52.141.39.15:443,52.141.39.15,443,KR,,110.55,125.13,124.07,500,110.55,-16.48,above_30mbps_reward,30.0
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,112.98,148.99,124.48,500,112.98,-18.5,above_30mbps_reward,30.0
154.19.187.141:443,154.19.187.141,443,JP,NRT,112.05,86.6,129.81,500,112.05,-12.24,above_30mbps_reward,30.0
5.226.49.101:443,5.226.49.101,443,JP,NRT,95.56,20.75,130.19,500,95.56,4.62,below_30mbps,30.0
131.143.215.142:443,131.143.215.142,443,JP,NRT,102.97,37.81,130.3,500,102.97,-2.67,above_30mbps_reward,30.0
144.24.94.127:443,144.24.94.127,443,KR,ICN,111.55,72.38,131.38,500,111.55,-10.17,above_30mbps_reward,30.0
23.176.40.217:443,23.176.40.217,443,JP,NRT,104.63,38.41,131.78,500,104.63,-2.85,above_30mbps_reward,30.0
54.180.151.15:443,54.180.151.15,443,KR,ICN,120.63,152.94,131.83,500,120.63,-18.8,above_30mbps_reward,30.0
138.2.122.191:443,138.2.122.191,443,KR,ICN,114.61,89.43,132.0,500,114.61,-12.61,above_30mbps_reward,30.0
23.249.17.25:443,23.249.17.25,443,JP,,104.23,32.82,133.19,500,104.23,-1.04,above_30mbps_reward,30.0
103.85.27.46:2053,103.85.27.46,2053,JP,NRT,113.18,56.22,135.93,500,113.18,-7.25,above_30mbps_reward,30.0
144.48.4.248:443,144.48.4.248,443,JP,NRT,117.45,76.68,136.62,500,117.45,-10.83,above_30mbps_reward,30.0
160.16.62.84:443,160.16.62.84,443,JP,NRT,107.33,28.55,138.06,500,107.33,0.72,below_30mbps,30.0
45.89.232.249:443,45.89.232.249,443,JP,,121.42,94.19,138.22,500,121.42,-13.2,above_30mbps_reward,30.0
38.47.111.220:443,38.47.111.220,443,JP,KIX,112.97,37.07,140.53,500,112.97,-2.44,above_30mbps_reward,30.0
202.144.192.53:443,202.144.192.53,443,JP,,123.85,94.12,140.66,500,123.85,-13.2,above_30mbps_reward,30.0
45.89.232.242:443,45.89.232.242,443,JP,NRT,127.03,87.97,144.61,500,127.03,-12.42,above_30mbps_reward,30.0
45.142.166.248:443,45.142.166.248,443,JP,NRT,111.45,18.51,147.19,500,111.45,5.74,below_30mbps,30.0
153.121.32.71:443,153.121.32.71,443,JP,,120.01,37.24,147.51,500,120.01,-2.5,above_30mbps_reward,30.0
45.89.232.34:443,45.89.232.34,443,JP,NRT,133.86,103.78,149.54,500,133.86,-14.32,above_30mbps_reward,30.0
23.151.104.14:443,23.151.104.14,443,JP,NRT,135.33,98.98,151.55,500,135.33,-13.78,above_30mbps_reward,30.0
91.200.243.253:443,91.200.243.253,443,JP,NRT,136.18,106.25,151.58,500,136.18,-14.6,above_30mbps_reward,30.0
140.235.37.114:443,140.235.37.114,443,JP,,138.75,95.03,155.44,500,138.75,-13.31,above_30mbps_reward,30.0
45.8.115.140:443,45.8.115.140,443,JP,KIX,127.43,35.16,155.6,500,127.43,-1.83,above_30mbps_reward,30.0
